spend_log_sd,seed,channel,metric,value
0.15,37,social,relative_bias,-0.8967660835
0.15,37,social,covered,0
0.15,37,ooh,relative_bias,0.4427102617
0.15,37,ooh,covered,1
0.15,37,all,median_abs_relative_bias,0.4427102617
0.15,37,all,spearman,0.6
0.15,37,all,regret,3.146292203
0.15,37,all,beats_status_quo,0
0.15,37,all,achievable_lift_share,0.01191628056
0.15,37,all,shortfall_from_optimum_share,0.03749210061
0.15,37,all,loss_vs_status_quo_share,0.02557582005
0.15,37,all,n_agreeing,3
0.15,38,tv,relative_bias,-0.408993023
0.15,38,tv,covered,0
0.15,38,video,relative_bias,0.1473484816
0.15,38,video,covered,1
0.15,38,search,relative_bias,-0.6342527048
0.15,38,search,covered,1
0.15,38,social,relative_bias,-1
0.15,38,social,covered,0
0.15,38,ooh,relative_bias,-1
0.15,38,ooh,covered,1
0.15,38,all,median_abs_relative_bias,0.6342527048
0.15,38,all,spearman,0.8720815993
0.15,38,all,regret,1.305338472
0.15,38,all,beats_status_quo,0
0.15,38,all,achievable_lift_share,0.01178424542
0.15,38,all,shortfall_from_optimum_share,0.0153824289
0.15,38,all,loss_vs_status_quo_share,0.003598183489
0.15,38,all,n_agreeing,3
0.15,39,tv,relative_bias,0.3992550895
0.15,39,tv,covered,1
0.15,39,video,relative_bias,0.4031484075
0.15,39,video,covered,1
0.15,39,search,relative_bias,-1
0.15,39,search,covered,1
0.15,39,social,relative_bias,-0.635927268
0.15,39,social,covered,1
0.15,39,ooh,relative_bias,2.763582192
0.15,39,ooh,covered,1
0.15,39,all,median_abs_relative_bias,0.635927268
0.15,39,all,spearman,0.6
0.15,39,all,regret,3.30248533
0.15,39,all,beats_status_quo,0
