series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,1.4,0.4121471388,22.5495494,31.22352709,130558.7293,1.511275414
noisy,1.4,0.4462056322,24.41297052,31.19031744,121539.7618,1.337797075
noisy,1.4,0.4830786083,26.43037866,31.15906879,113338.7568,1.180052111
noisy,1.4,0.5229986467,28.61449883,31.12997269,105878.9492,1.036563954
noisy,1.4,0.5662175466,30.97910756,31.10317288,99091.91951,0.9060165683
noisy,1.4,0.6130079154,33.53911982,31.07876488,92916.47647,0.7872329499
noisy,1.4,0.6636648873,36.31068314,31.05679769,87297.68753,0.6791564804
noisy,1.4,0.718507986,39.3112794,31.03727701,82186.0502,0.5808349877
noisy,1.4,0.7778831392,42.55983514,31.02016955,77536.79226,0.4914072857
noisy,1.4,0.8421648612,46.07684091,31.00540797,73309.28684,0.4100919229
noisy,1.4,0.9117586147,49.88448055,30.99062712,69466.56624,0.3361778323
noisy,1.4,0.9871033687,54.00677109,30.97784537,65974.9186,0.2690165714
noisy,1.4,1.068674367,58.46971426,30.96705614,62803.55156,0.2080158545
noisy,1.4,1.156986126,63.30146048,30.95813199,59924.30935,0.1526341101
noisy,1.4,1.252595681,68.53248642,30.95093307,57311.43136,0.1023758373
noisy,1.4,1.356106097,74.19578726,30.94531095,54941.34267,0.05678757587
noisy,1.4,1.468170276,80.32708479,30.94111207,52792.46906,0.01545434986
noisy,1.4,1.589495072,86.96505272,30.93818114,50845.07127,-0.02200352219
noisy,1.4,1.720845753,94.15156064,30.93636413,49081.09443,-0.05593332299
noisy,1.4,1.863050826,101.9319381,30.93551104,47484.03007,-0.08665258989
noisy,1.4,2.017007261,110.3552605,30.93547825,46038.78912,-0.114451559
noisy,1.4,2.183686153,119.4746588,30.93613045,44731.58452,-0.1395954217
noisy,1.4,2.364138845,129.3476544,30.93734221,43549.82294,-0.1623264088
noisy,1.4,2.559503557,140.0365221,30.93899902,42482.00482,-0.1828657126
noisy,1.4,2.771012572,151.6086829,30.94099797,41517.63242,-0.201415255
noisy,1.4,3,164.1371293,30.94324803,40647.12541,-0.2181593124
noisy,1.5,0.3,16.41371293,31.42535876,177809.8031,2.420141949
noisy,1.5,0.3247910202,17.77008856,31.38435975,163570.9005,2.14625903
noisy,1.5,0.3516306893,19.23855064,31.34456921,150723.3592,1.899138711
