max_multiplier,seed,regret,beats_status_quo,achievable_lift_share,channels_on_upper_bound,channels_zeroed_model,channels_zeroed_truth
1.5,126,2.928179235,0,0.01141292533,2,1,1
1.5,127,1.74019481,0,0.01188472932,1,0,1
1.5,128,1.274083788,0,0.01121464583,0,0,1
1.5,129,1.425596544,0,0.01185282526,0,0,1
1.5,130,2.689191857,0,0.01103189978,0,1,1
1.5,131,1.203117829,0,0.01097004342,1,1,1
1.5,132,2.651551133,0,0.01127896664,2,2,1
1.5,133,0.6160980206,1,0.01186732765,0,1,1
1.5,134,2.474424454,0,0.01217814283,0,1,1
1.5,135,2.012875685,0,0.01226892516,1,2,1
1.5,136,0.7264168002,1,0.01119436685,0,0,1
1.5,138,2.810471301,0,0.01110466523,1,1,1
1.5,139,2.872704788,0,0.011618858,1,1,1
1.5,140,0.8732681171,1,0.01187849125,0,0,1
1.5,141,3.08037602,0,0.01184550182,3,1,1
1.5,142,0.7445942331,1,0.01161936557,0,0,1
1.5,143,1.31018377,0,0.01143698756,1,0,1
1.5,144,1.100356018,0,0.01186600716,0,1,1
1.5,145,0.1071767789,1,0.01137837255,0,1,1
1.5,146,2.746471196,0,0.01142059834,1,1,1
1.5,147,1.172611724,0,0.01144475265,0,1,1
1.5,148,0.7028414452,1,0.01134811192,1,1,1
1.5,149,0.2945365699,1,0.01212638755,0,1,1
1.5,150,2.324217347,0,0.01177443835,1,1,1
1.5,151,0.6756308751,1,0.01117714903,0,0,1
1.5,152,0.561378528,1,0.01228978297,0,1,1
1.5,153,4.096012521,0,0.01143307235,3,1,1
1.5,154,1.432801406,0,0.01149624417,1,1,1
1.5,155,2.334975049,0,0.01170033564,2,2,1
1.5,156,2.207001469,0,0.01089835043,1,1,1
1.5,157,1.340798705,0,0.01161636287,0,1,1
1.5,158,1.333343777,0,0.01171853094,0,1,1
1.5,159,1.820285144,0,0.01157618837,0,1,1
1.5,160,2.284278325,0,0.01238882336,1,1,1
1.5,161,1.389229229,0,0.01198918481,2,1,1
1.5,162,1.184251805,0,0.01121779015,0,1,1
1.5,163,0.5340673071,1,0.01131459626,0,0,1
1.5,165,2.35417574,0,0.01166015667,0,1,1
1.5,166,0.9106391141,1,0.01169952156,0,2,1
1.5,167,0.7775502636,1,0.01116248163,0,0,1
1.5,168,2.35319549,0,0.0121522895,1,1,1
1.5,169,0.202099737,1,0.01123073696,0,1,1
1.5,170,2.324454369,0,0.01199922013,1,1,1
1.5,171,3.078189115,0,0.01159901414,2,1,1
1.5,172,0.8371116875,1,0.01163762127,1,0,1
1.5,173,0.226206116,1,0.01216918499,1,1,1
1.5,174,2.047349273,0,0.01120570884,0,1,1
1.5,175,0.4425545494,1,0.01231055691,1,1,1
1.5,176,2.61432035,0,0.01193517764,1,1,1
1.5,177,0.6971754981,1,0.01143762213,0,0,1
1.5,178,2.225213861,0,0.01193478129,1,1,1
1.5,179,1.707864353,0,0.01107548141,0,1,1
1.5,180,2.776881007,0,0.01203557459,2,1,1
1.5,181,1.256262574,0,0.01031257944,0,0,1
1.5,182,0.5295438014,1,0.01185907753,0,0,1
1.5,183,2.173937461,0,0.01153967844,1,2,1
1.5,184,0.3645840322,1,0.01076244009,0,1,1
1.5,185,1.220730634,0,0.01180122695,1,2,1
